Date,Open,High,Low,Close
12/28/2018,"2,483.62","2,505.11","2,478.33","2,493.90"
12/27/2018,"2,527.72","2,532.00","2,483.09","2,483.09"
12/26/2018,"2,501.12","2,513.83","2,492.08","2,498.29"
12/25/2018,"2,503.95","2,513.96","2,462.84","2,504.82"
12/24/2018,"2,506.74","2,529.44","2,500.44","2,527.01"
12/21/2018,"2,526.55","2,527.42","2,498.69","2,516.25"
12/20/2018,"2,544.51","2,554.86","2,516.02","2,536.27"
12/19/2018,"2,578.68","2,579.87","2,547.08","2,549.56"
12/18/2018,"2,583.63","2,599.15","2,563.57","2,576.65"
12/17/2018,"2,587.26","2,598.97","2,573.87","2,597.97"
12/14/2018,"2,627.28","2,629.16","2,593.74","2,593.74"
12/13/2018,"2,607.14","2,645.84","2,599.46","2,634.05"
12/12/2018,"2,608.11","2,610.01","2,595.08","2,602.15"
12/11/2018,"2,587.02","2,596.15","2,583.20","2,594.09"
12/10/2018,"2,589.19","2,599.76","2,576.24","2,584.58"
12/07/2018,"2,609.34","2,614.58","2,599.28","2,605.89"
12/06/2018,"2,629.82","2,633.68","2,603.13","2,605.18"
12/05/2018,"2,629.83","2,660.39","2,625.91","2,649.81"
12/04/2018,"2,651.56","2,666.08","2,644.90","2,665.96"
12/03/2018,"2,647.13","2,665.30","2,629.18","2,654.80"
11/30/2018,"2,564.56","2,590.21","2,555.32","2,588.19"
11/29/2018,"2,613.78","2,617.55","2,567.44","2,567.44"
11/28/2018,"2,575.45","2,601.96","2,561.56","2,601.74"
11/27/2018,"2,585.83","2,592.54","2,566.17","2,574.68"
11/26/2018,"2,580.84","2,595.00","2,568.04","2,575.81"
11/23/2018,"2,640.67","2,642.04","2,577.35","2,579.48"
11/22/2018,"2,655.90","2,658.00","2,634.48","2,645.43"
11/21/2018,"2,619.82","2,653.80","2,617.78","2,651.51"
11/20/2018,"2,684.29","2,690.83","2,643.36","2,645.85"
11/19/2018,"2,681.90","2,703.51","2,674.18","2,703.51"
11/16/2018,"2,669.78","2,695.57","2,657.03","2,679.11"
11/15/2018,"2,632.14","2,668.17","2,631.89","2,668.17"
11/14/2018,"2,648.31","2,658.31","2,627.96","2,632.24"
11/13/2018,"2,600.50","2,666.49","2,597.35","2,654.88"
11/12/2018,"2,593.20","2,631.17","2,590.21","2,630.52"
11/09/2018,"2,621.24","2,621.24","2,598.16","2,598.87"
11/08/2018,"2,660.09","2,662.37","2,632.30","2,635.63"
11/07/2018,"2,659.84","2,675.68","2,639.25","2,641.34"
11/06/2018,"2,660.72","2,660.86","2,635.32","2,659.36"
11/05/2018,"2,665.43","2,673.19","2,639.27","2,665.43"
11/02/2018,"2,649.25","2,676.48","2,628.87","2,676.48"
11/01/2018,"2,617.03","2,636.80","2,603.65","2,606.24"
10/31/2018,"2,573.01","2,612.92","2,567.03","2,602.78"
10/30/2018,"2,538.57","2,586.92","2,521.78","2,568.05"
10/29/2018,"2,593.59","2,595.54","2,529.19","2,542.10"
10/26/2018,"2,610.90","2,626.12","2,580.85","2,598.85"
10/25/2018,"2,540.93","2,606.10","2,531.54","2,603.80"
10/24/2018,"2,579.97","2,640.40","2,577.77","2,603.30"
10/23/2018,"2,652.65","2,659.81","2,583.26","2,594.83"
10/22/2018,"2,565.64","2,675.41","2,565.64","2,654.88"
10/19/2018,"2,460.08","2,553.39","2,449.20","2,550.47"
10/18/2018,"2,544.91","2,544.91","2,485.62","2,486.42"
10/17/2018,"2,574.31","2,582.55","2,517.57","2,561.61"
10/16/2018,"2,567.76","2,597.72","2,536.44","2,546.33"
10/15/2018,"2,605.91","2,611.97","2,564.74","2,568.10"
10/12/2018,"2,574.04","2,615.92","2,536.67","2,606.91"
10/11/2018,"2,643.07","2,661.29","2,560.32","2,583.46"
10/10/2018,"2,723.72","2,743.55","2,703.06","2,725.84"
10/09/2018,"2,713.73","2,734.31","2,711.20","2,721.01"
10/08/2018,"2,768.21","2,771.94","2,710.18","2,716.51"
09/28/2018,"2,794.26","2,821.76","2,791.84","2,821.35"
09/27/2018,"2,805.79","2,810.51","2,786.32","2,791.77"
09/26/2018,"2,785.32","2,827.34","2,783.34","2,806.81"
09/25/2018,"2,775.07","2,790.03","2,771.16","2,781.14"
09/21/2018,"2,733.87","2,797.49","2,722.03","2,797.48"
09/20/2018,"2,732.17","2,743.96","2,724.08","2,729.24"
09/19/2018,"2,694.80","2,746.08","2,690.99","2,730.85"
09/18/2018,"2,644.30","2,700.19","2,644.30","2,699.95"
09/17/2018,"2,671.29","2,671.29","2,647.92","2,651.79"
09/14/2018,"2,688.78","2,694.92","2,675.29","2,681.64"
09/13/2018,"2,679.21","2,689.06","2,653.19","2,686.58"
09/12/2018,"2,659.74","2,672.07","2,647.17","2,656.11"
09/11/2018,"2,668.49","2,680.57","2,652.70","2,664.80"
09/10/2018,"2,698.01","2,703.43","2,667.32","2,669.48"
09/07/2018,"2,696.68","2,728.55","2,683.72","2,702.30"
09/06/2018,"2,697.58","2,719.41","2,683.74","2,691.59"
09/05/2018,"2,741.38","2,745.47","2,704.34","2,704.34"
09/04/2018,"2,720.65","2,756.61","2,712.38","2,750.58"
09/03/2018,"2,716.40","2,722.85","2,692.36","2,720.73"
08/31/2018,"2,730.11","2,744.63","2,710.54","2,725.25"
08/30/2018,"2,769.33","2,780.53","2,736.35","2,737.74"
08/29/2018,"2,774.86","2,778.54","2,762.35","2,769.29"
08/28/2018,"2,782.29","2,791.39","2,769.40","2,777.98"
08/27/2018,"2,736.32","2,780.90","2,736.32","2,780.90"
08/24/2018,"2,717.08","2,748.82","2,705.32","2,729.43"
08/23/2018,"2,714.87","2,736.01","2,700.80","2,724.62"
08/22/2018,"2,731.96","2,731.96","2,709.06","2,714.61"
08/21/2018,"2,700.34","2,739.17","2,696.29","2,733.83"
08/20/2018,"2,673.07","2,698.47","2,653.11","2,698.47"
08/17/2018,"2,723.89","2,730.33","2,665.59","2,668.97"
08/16/2018,"2,691.43","2,732.95","2,672.74","2,705.19"
08/15/2018,"2,777.25","2,777.70","2,721.24","2,723.26"
08/14/2018,"2,780.74","2,789.44","2,766.57","2,780.96"
08/13/2018,"2,769.02","2,789.80","2,742.56","2,785.87"
08/10/2018,"2,791.40","2,806.12","2,777.51","2,795.31"
08/09/2018,"2,729.58","2,801.66","2,726.22","2,794.38"
08/08/2018,"2,771.13","2,779.91","2,741.07","2,744.07"
08/07/2018,"2,711.74","2,779.37","2,696.04","2,779.37"
08/06/2018,"2,736.53","2,760.47","2,692.32","2,705.16"
